CLAIM_ID,POLICY_ID,CUSTOMER_ID,CLAIM_DATE,CLAIM_AMOUNT,APPROVED_AMOUNT,CLAIM_STATUS,INCIDENT_TYPE,LAST_UPDATED_TS
CL1001,P1013,C1016,2024-10-31,1341.96,328.57,S,Fire,2026-08-02 22:04:00
CL1002,P1037,C1018,2025-03-04,11056.84,4245.59,S,Flood,2026-08-22 15:16:00
CL1003,P1001,C1019,2025-04-13,11897.89,2603.75,S,Collision,2026-07-28 04:02:00
CL1004,P1008,C1015,2025-11-19,2866.75,1332.02,R,Accident,2026-07-23 12:03:00
CL1005,P1033,C1009,2024-07-26,12627.97,6918.51,A,Accident,2026-08-04 03:12:00
CL1006,P1016,C1029,2025-01-09,11721.39,6110.36,A,Medical,2026-08-04 09:15:00
CL1007,P1019,C1019,2023-09-14,4804.01,1535.89,A,Theft,2026-08-23 04:36:00
CL1008,P1010,C1028,2023-05-06,1899.2,774.11,S,Burglary,2026-08-29 05:07:00
CL1009,P1027,C1022,2025-12-31,13667.74,7983.05,P,Burglary,2026-08-02 11:38:00
CL1010,P1002,C1022,2024-11-20,12948.27,12345.27,S,Flood,2026-08-01 04:43:00
CL1011,P1028,C1005,2026-02-25,1406.35,472.72,S,Theft,2026-08-03 07:21:00
CL1012,P1035,C1017,2025-08-14,13697.0,8107.16,P,Fire,2026-07-21 22:52:00
CL1013,P1030,C1026,2023-11-18,1703.98,645.99,A,Accident,2026-08-12 01:12:00
CL1014,P1025,C1015,2025-04-30,11528.14,9590.54,R,Fire,2026-08-02 11:13:00
CL1015,P1035,C1017,2025-08-27,14998.71,5248.95,P,Collision,2026-08-31 04:48:00
CL1016,P1002,C1022,2024-05-27,4339.63,2055.08,P,Flood,2026-08-02 13:44:00
CL1017,P1024,C1027,2025-01-08,9482.5,9138.61,P,Theft,2026-08-13 08:23:00
CL1018,P1002,C1022,2024-08-16,9061.15,8227.76,S,Burglary,2026-07-18 05:56:00
CL1019,P1038,C1010,2025-07-18,2426.62,1874.52,P,Collision,2026-08-09 18:33:00
CL1020,P1024,C1027,2024-11-19,8083.45,2758.33,S,Accident,2026-08-25 22:37:00
CL1021,P1030,C1026,2023-11-03,7096.82,5207.61,R,Accident,2026-08-02 22:08:00
CL1022,P1038,C1010,2025-07-31,5512.26,1353.23,P,Medical,2026-08-04 04:12:00
CL1023,P1030,C1026,2024-06-03,9544.64,3617.32,P,Accident,2026-08-12 06:29:00
CL1024,P1014,C1011,2025-11-21,12169.65,4141.8,R,Collision,2026-07-30 05:55:00
CL1025,P1016,C1029,2025-03-17,7840.09,5944.08,S,Accident,2026-08-04 11:55:00
CL1026,P1019,C1019,2023-09-07,6661.62,1620.81,R,Accident,2026-07-27 19:38:00
CL1027,P1028,C1005,2026-03-30,5631.08,3957.83,R,Medical,2026-08-16 04:53:00
CL1028,P1013,C1016,2025-01-25,2673.77,1432.78,A,Flood,2026-08-18 12:30:00
CL1029,P1018,C1021,2023-12-10,9355.07,9172.75,A,Medical,2026-08-18 00:49:00
CL1030,P1020,C1008,2024-12-29,10912.26,1381.31,P,Collision,2026-07-28 02:16:00
CL1031,P1009,C1007,2024-05-22,2436.23,29.88,R,Accident,2026-08-01 21:39:00
CL1032,P1012,C1013,2025-02-14,4534.7,3907.66,P,Fire,2026-08-06 20:56:00
CL1033,P1037,C1018,2024-12-22,3124.18,2534.15,R,Fire,2026-08-17 08:25:00
CL1034,P1027,C1022,2025-10-08,11859.71,4511.17,S,Medical,2026-07-25 22:41:00
CL1035,P1037,C1018,2024-12-25,9534.83,7056.63,A,Flood,2026-08-15 14:55:00
CL1036,P1011,C1014,2023-07-03,3433.39,257.73,P,Burglary,2026-08-03 13:22:00
CL1037,P1031,C1010,2024-05-01,1456.96,419.76,R,Accident,2026-08-27 14:46:00
CL1038,P1017,C1030,2024-01-09,6951.95,3785.77,A,Medical,2026-08-23 09:57:00
CL1039,P1011,C1014,2023-08-07,9330.62,7690.67,R,Accident,2026-08-24 21:16:00
CL1040,P1020,C1008,2025-07-16,14197.47,7105.44,S,Accident,2026-08-26 16:58:00
CL1041,P1028,C1005,2025-12-04,9451.99,244.47,A,Collision,2026-07-20 03:24:00
CL1042,P1003,C1024,2024-04-17,7587.01,4943.01,R,Theft,2026-07-25 22:20:00
CL1043,P1032,C1009,2024-01-22,7580.15,3095.34,R,Fire,2026-08-22 01:34:00
CL1044,P1032,C1009,2024-05-02,10276.17,4115.12,P,Accident,2026-08-27 01:44:00
CL1045,P1021,C1021,2025-08-17,14582.59,5893.92,P,Accident,2026-08-06 10:48:00
CL1046,P1034,C1017,2023-08-20,9716.87,4843.79,S,Collision,2026-08-19 03:25:00
CL1047,P1009,C1007,2024-02-08,7133.63,4981.06,P,Collision,2026-07-22 16:09:00
CL1048,P1016,C1029,2024-11-10,5350.5,73.17,S,Fire,2026-08-18 08:31:00
CL1049,P1008,C1015,2025-06-17,7977.26,5716.53,R,Burglary,2026-08-01 20:45:00
CL1050,P1030,C1026,2024-05-25,3024.99,576.59,A,Fire,2026-08-14 22:39:00
