POLICY_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_TYPE,POLICY_STATUS,PREMIUM_AMOUNT,SUM_INSURED,ISSUE_DATE,EXPIRY_DATE,LAST_UPDATED_TS
P1001,C1019,PN-20241001,AUTO,A,19101.97,676220.84,2025-02-17,2026-02-17,2026-07-29 07:52:00
P1002,C1022,PN-20241002,LIFE,I,8831.25,325085.61,2024-03-09,2025-03-09,2026-08-18 18:12:00
P1003,C1024,PN-20241003,HOME,C,11777.83,374442.82,2024-01-18,2025-01-17,2026-08-03 19:32:00
P1004,C1004,PN-20241004,HOME,I,4408.57,68446.83,2024-07-21,2025-07-21,2026-08-17 17:46:00
P1005,C1001,PN-20241005,AUTO,A,12000.0,302465.98,2025-05-30,2026-05-30,2026-08-11 09:28:00
P1006,C1008,PN-20241006,HEALTH,L,7713.21,141211.88,2025-08-15,2026-08-15,2026-07-26 17:30:00
P1007,C1008,PN-20241007,LIFE,L,7189.02,125256.24,2024-03-17,2025-03-17,2026-08-09 22:34:00
P1008,C1015,PN-20241008,AUTO,A,4333.48,143894.68,2025-03-30,2026-03-30,2026-08-26 04:48:00
P1009,C1007,PN-20241009,LIFE,I,12281.4,269744.11,2023-09-13,2024-09-12,2026-08-27 21:09:00
P1010,C1028,PN-20241010,AUTO,A,17347.19,494649.89,2023-01-16,2024-01-16,2026-08-27 04:50:00
P1011,C1014,PN-20241011,LIFE,L,7702.44,192761.32,2023-03-02,2024-03-01,2026-08-22 00:00:00
P1012,C1013,PN-20241012,HEALTH,L,9275.48,300662.71,2025-01-18,2026-01-18,2026-07-27 14:15:00
P1013,C1016,PN-20241013,HOME,I,9527.57,373649.71,2024-08-16,2025-08-16,2026-07-29 10:13:00
P1014,C1011,PN-20241014,AUTO,A,15851.91,437057.13,2025-05-23,2026-05-23,2026-07-30 06:57:00
P1015,C1017,PN-20241015,AUTO,I,4507.47,75270.34,2025-06-01,2026-06-01,2026-08-16 23:53:00
P1016,C1029,PN-20241016,HOME,A,16626.39,423650.77,2024-08-20,2025-08-20,2026-07-26 19:40:00
P1017,C1030,PN-20241017,HEALTH,I,17733.97,405302.73,2023-09-29,2024-09-28,2026-08-07 07:18:00
P1018,C1021,PN-20241018,HEALTH,L,9955.9,336475.69,2023-03-16,2024-03-15,2026-08-31 21:21:00
P1019,C1019,PN-20241019,AUTO,A,14827.96,409950.35,2023-05-16,2024-05-15,2026-08-10 09:04:00
P1020,C1008,PN-20241020,HEALTH,C,6470.43,231923.66,2024-12-21,2025-12-21,2026-08-12 16:09:00
P1021,C1021,PN-20241021,AUTO,C,23498.63,413332.97,2025-06-18,2026-06-18,2026-08-24 03:53:00
P1022,C1029,PN-20241022,AUTO,I,8991.66,270835.5,2025-01-04,2026-01-04,2026-08-11 05:17:00
P1023,C1021,PN-20241023,HEALTH,L,8524.67,321413.95,2023-02-22,2024-02-22,2026-08-26 15:33:00
P1024,C1027,PN-20241024,HEALTH,A,3078.01,105507.97,2024-10-14,2025-10-14,2026-08-16 06:13:00
P1025,C1015,PN-20241025,LIFE,A,5461.23,210946.96,2024-12-08,2025-12-08,2026-08-22 18:58:00
P1026,C1027,PN-20241026,HEALTH,I,12455.31,199854.43,2024-01-09,2025-01-08,2026-08-30 00:47:00
P1027,C1022,PN-20241027,HOME,A,10780.93,312615.58,2025-06-14,2026-06-14,2026-08-05 16:13:00
P1028,C1005,PN-20241028,HOME,I,24476.53,863269.91,2025-06-21,2026-06-21,2026-08-06 11:49:00
P1029,C1024,PN-20241029,HEALTH,L,20649.17,755792.68,2025-04-10,2026-04-10,2026-08-17 03:50:00
P1030,C1026,PN-20241030,AUTO,L,22187.67,809069.64,2023-08-16,2024-08-15,2026-08-19 21:38:00
P1031,C1010,PN-20241031,HOME,I,3520.62,69807.71,2023-12-03,2024-12-02,2026-08-15 09:11:00
P1032,C1009,PN-20241032,HEALTH,L,17949.4,647821.29,2023-12-06,2024-12-05,2026-08-31 08:04:00
P1033,C1009,PN-20241033,HOME,C,3841.66,114920.5,2023-12-20,2024-12-19,2026-08-11 22:22:00
P1034,C1017,PN-20241034,AUTO,L,22789.1,450129.61,2023-02-15,2024-02-15,2026-07-17 23:00:00
P1035,C1017,PN-20241035,HOME,C,12488.54,483579.52,2025-07-31,2026-07-31,2026-08-10 16:40:00
P1036,C1022,PN-20241036,AUTO,C,14156.7,448375.57,2023-12-01,2024-11-30,2026-08-06 13:42:00
P1037,C1018,PN-20241037,HOME,I,12249.82,471729.44,2024-11-24,2025-11-24,2026-08-20 16:24:00
P1038,C1010,PN-20241038,LIFE,A,9685.25,196170.55,2025-03-15,2026-03-15,2026-07-25 16:19:00
P1039,C1011,PN-20241039,LIFE,L,12727.52,258910.02,2024-04-29,2025-04-29,2026-08-21 14:55:00
P1040,C1010,PN-20241040,HEALTH,A,21005.32,709527.22,2024-11-19,2025-11-19,2026-08-13 04:09:00
